[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/17894-5c18c9a69431495c.js → 200 (605ms, 13192B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/43947-18e23171752897a9.js → 200 (605ms, 7963B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/63991-125a5c660965e63e.js → 200 (615ms, 7313B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/59852-5590c0c6714d20ab.js → 200 (615ms, 41815B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/3624-315519953701b118.js → 200 (621ms, 27037B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/66231-e5fbc544a569ca6a.js → 200 (622ms, 16950B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/36600-4f87611db710da71.js → 200 (645ms, 33370B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/33684-93c00536afad2a9e.js → 200 (671ms, 8329B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/18222-498ac30c45b2263a.js → 200 (693ms, 54941B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/96755-4b30aa134d425c76.js → 200 (671ms, 9558B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/75674-2e114facd4804efc.js → 200 (672ms, 8225B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/1097-b805267515cb2087.js → 200 (672ms, 16917B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/8987-5c9265a0508c59d9.js → 200 (678ms, 14224B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/5289-9250cf167b7fe748.js → 200 (678ms, 15899B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/52762-5932104f7e07c104.js → 200 (678ms, 8497B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/41110-bf1fbe4fd0f79f3c.js → 200 (678ms, 7173B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/96175-6440fa3fdba8a6d6.js → 200 (693ms, 46263B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/74772-913ad75b0031e3cb.js → 200 (685ms, 33178B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/42771-4ebf93dd4d342b28.js → 200 (685ms, 14511B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/66519-86fe8878b914408f.js → 200 (693ms, 15411B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/50110-4706379d5e5adfa5.js → 200 (693ms, 13723B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/26497-68a88bfbd7666fd3.js → 200 (724ms, 97265B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/49135-ba4558f7cc36610d.js → 200 (709ms, 30700B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/71920-58ac447cba18af72.js → 200 (709ms, 8976B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/code-view-5717bb379693a2d2.js → 200 (775ms, 527015B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/primer-react-css.c9ae9d384671ffd7.module.css → 200 (88ms, 300123B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/code-view.44b577f77412a398.module.css → 200 (88ms, 104924B)
[2026-04-21T19:22:46.125Z] GET https://github.githubassets.com/assets/33073-19b499126dc11486.js → 200 (719ms, 9607B)
[2026-04-21T19:22:46.126Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu-c6a8800f72a52aef.js → 200 (718ms, 7211B)
[2026-04-21T19:22:46.126Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu.eafe1f00f7ea4df8.module.css → 200 (78ms, 2757B)
[2026-04-21T19:22:46.126Z] GET https://github.githubassets.com/assets/keyboard-shortcuts-dialog.f28b62055c3637ed.module.css → 200 (78ms, 331B)
[2026-04-21T19:22:46.126Z] GET https://github.githubassets.com/assets/46752-46c707717fcbe6a9.js → 200 (748ms, 69801B)
[2026-04-21T19:22:46.126Z] GET https://github.githubassets.com/assets/90350-4433d18838554aeb.js → 200 (718ms, 9084B)
[2026-04-21T19:22:46.126Z] GET https://github.githubassets.com/assets/sessions-e74d03d993e84335.js → 200 (718ms, 18016B)
[2026-04-21T19:22:46.144Z] GET https://github.githubassets.com/assets/marketing-navigation.9b8d6525ad84b340.module.css → 200 (60ms, 10717B)
[2026-04-21T19:22:46.462Z] GET https://github.githubassets.com/assets/chunk-20430-363898fe0a423203.js → 200 (7ms, 3469B)
[2026-04-21T19:22:46.462Z] GET https://github.githubassets.com/assets/chunk-51591-a655015837846668.js → 200 (8ms, 17786B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-34877-fdaec2d7ab775509.js → 200 (7ms, 831B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-36423-7610f7b55bc7f34d.js → 200 (8ms, 11314B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/1337-ae2e2dfbf56d69f2.js → 200 (8ms, 10859B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/2694-eb7c55471169d0e6.js → 200 (8ms, 24001B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-87740-ca53925defc1fbc0.js → 200 (8ms, 8584B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-57335-6a74adb4f1e6e7f9.js → 200 (38ms, 58424B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/55077-7e6ec049c792d791.js → 200 (38ms, 32270B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-78326-75c5610d70c5d5ec.js → 200 (39ms, 362B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-50050-27220c8ab6a21ca6.js → 200 (40ms, 678B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-92814-ee86ebdb6128dc4f.js → 200 (40ms, 11278B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/chunk-69038-ede883175639abbd.js → 200 (40ms, 573B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/41911-85501ec7fd6ae96c.js → 200 (40ms, 15394B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/38963.f70dfea92b138b01.module.css → 200 (37ms, 311B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/71236-ed1398bff632952c.js → 200 (65ms, 11429B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/28174-86d8b64c92c04430.js → 200 (65ms, 85268B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/36522-bdd8d55ddb440cb8.js → 200 (65ms, 14082B)
[2026-04-21T19:22:46.463Z] GET https://github.githubassets.com/assets/70168.33bc32a1383dd256.module.css → 200 (37ms, 10702B)
[2026-04-21T19:22:46.503Z] GET https://github.githubassets.com/assets/chunk-85825-b95e00c532a6f285.js → 200 (25ms, 43838B)
[2026-04-21T19:22:46.505Z] GET https://github.githubassets.com/assets/appearance-settings.bbd30affdb1c873f.module.css → 200 (22ms, 5899B)
[2026-04-21T19:22:46.527Z] GET https://github.githubassets.com/assets/53160-dceea6a389ad9115.js → 200 (12ms, 15507B)
[2026-04-21T19:22:46.527Z] GET https://github.githubassets.com/assets/71849.56ce4fb99933ba04.module.css → 200 (11ms, 5885B)
[2026-04-21T19:22:46.527Z] GET https://github.githubassets.com/assets/chunk-lazy-react-partial-appearance-settings-5a2240782ac2c21c.js → 200 (12ms, 6680B)
[2026-04-21T19:22:46.616Z] GET https://github.githubassets.com/assets/chunk-81053-4b979968b5019472.js → 200 (7ms, 54217B)
[2026-04-21T19:22:46.621Z] GET https://github.githubassets.com/assets/chunk-46661-d5d295412f321b1d.js → 200 (26ms, 10201B)
[2026-04-21T19:22:46.817Z] GET https://github.githubassets.com/assets/61975.8cef654162900584.module.css → 200 (17ms, 1372B)
[2026-04-21T19:22:46.818Z] GET https://github.githubassets.com/assets/chunk-61975-89bf2c8790666b8b.js → 200 (16ms, 3879B)
